id,url,brand,lcbo_id,style_link_name,style_link_url,description,seasonal,release,abv,made_in,made_by,style,created
1,http://www.lcbo.com/lcbo/product/bud-light/1107,"Bud Light",NULL,NULL,NULL,"Light golden colour; light malt & hops; very light body touch of citrus to finish.",NULL,"August 14, 2012",4.0%,"Ontario, Canada","Labatt Breweries Ontario",NULL,"2018-06-11 03:03:50"
2,http://www.lcbo.com/lcbo/product/kronenbourg-1664/6106,"Kronenbourg 1664",NULL,NULL,NULL,"Pale gold colour; toasted barley aroma; slightly sweet malt flavour with refreshing, bitter hops in finish.",NULL,"August 14, 2012",4.7%,"Alsace, France","Brasseries Kronenbourg",NULL,"2018-06-11 03:03:50"
3,http://www.lcbo.com/lcbo/product/pabst-blue-ribbon/37861,"Pabst Blue Ribbon",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Very pale golden colour with frothy mousse; delicate malt aromas with hints of banana and pear fruit; medium-light bodied with clean flavours of cereal and light hops on the finish.",NULL,"October 7, 2014",5.0%,"Ontario, Canada","Sleeman Brewing & Malting Co","Light & Malty","2018-06-11 03:03:50"
4,http://www.lcbo.com/lcbo/product/old-milwaukee-ice/586677,"Old Milwaukee Ice",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Yellow amber; light grainy aroma; dry, slightly bitter flavour.",NULL,"May 15, 2012",5.5%,"Ontario, Canada","Sleeman Brewing & Malting Co","Light & Malty","2018-06-11 03:03:50"
5,http://www.lcbo.com/lcbo/product/peroni-nastro-azzurro/525188,"Peroni Nastro Azzurro",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Pours a clear pale gold colour with fine head. Pleasant aromas of crisp apple, citrus pith and freshly baked bread with floral hops. On the palate it is medium bodied and moderately carbonated, with flavours of apple, toasted grains and light notes of citrus, grass and caramel on a refreshingly bitter finish.",NULL,"February 20, 2018",5.2%,Italy,"Birra Peroni Industriale","Light & Malty","2018-06-11 03:03:50"
6,http://www.lcbo.com/lcbo/product/wernesgruner-pilsner/427831,"Wernesgruner Pilsner",NULL,"Medium & Spicy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Spicy,"Light golden colour; hop and sweet spice aromas and flavours; medium-bodied with a clean finish",NULL,"January 1, 2001",4.9%,Germany,"Wernesgruner Brauerri A.G.","Medium & Spicy","2018-06-11 03:03:50"
7,http://www.lcbo.com/lcbo/product/gosser-beer/469262,"Gosser Beer",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"Pale yellow/amber colour with a fine mousse; citrus peel and hops on the nose with a light malty note; light to medium body with a creamy palate and hoppy finish.",NULL,"January 1, 2001",5.2%,Austria,"Brau Union International Gmbh","Light & Hoppy","2018-06-11 03:03:51"
8,http://www.lcbo.com/lcbo/product/holsten-premium-pilsner/288365,"Holsten Premium Pilsner",NULL,"Light & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Malty,"Medium gold colour; light hop & cooked grain aromas with underlying pear notes; clean finish",NULL,"September 21, 2011",5.0%,Germany,Holsten-Brauerei,"Light & Malty","2018-06-11 03:03:51"
9,http://www.lcbo.com/lcbo/product/beck-s/322362,Beck's,NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"Pale straw/gold colour; barley and cereal nose; full hop & malt flavour & bitterness in finish crisp flavour outstanding with food",NULL,"November 5, 2014",5.0%,Germany,"Beck & Company","Light & Hoppy","2018-06-11 03:03:51"
10,http://www.lcbo.com/lcbo/product/dab-original/254946,"DAB Original",NULL,"Light & Floral",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Floral,"Pale lemon in colour with a frothy mousse; soft grain, light hops and malt on the nose; dry and medium body with a creamy texture.",NULL,"October 16, 2014",5.0%,Germany,"Dortmunder Actien Brauerei Kg","Light & Floral","2018-06-11 03:03:51"
11,http://www.lcbo.com/lcbo/product/holsten-maibock/432856,"Holsten Maibock",NULL,"Medium & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Malty,"Straw yellow colour; medium- to full-bodied with a sweet, malty mid-palate and pleasant bitter finish",NULL,"January 1, 2001",7.0%,Germany,Holsten-Brauerei,"Medium & Malty","2018-06-11 03:03:51"
12,http://www.lcbo.com/lcbo/product/holsten-festbock/334276,"Holsten Festbock",NULL,"Medium & Roasted",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Medium+%26+Roasted,"Deep amber colour; sweet roasted malt & coffee aromas; medium body; round malt flavour with touch of hops; long finish",NULL,"January 1, 2001",7.0%,Germany,Holsten-Brauerei,"Medium & Roasted","2018-06-11 03:03:51"
13,http://www.lcbo.com/lcbo/product/crest-super-lager/456202,"Crest Super Lager",NULL,"Full & Malty",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Full+%26+Malty,"Medium gold colour; light grainy aromas; strong, full-flavoured and fruity with a slightly sweet/bitter finish",NULL,"January 1, 2001",10.0%,"England, United Kingdom","Marston's Brewery","Full & Malty","2018-06-11 03:03:51"
14,http://www.lcbo.com/lcbo/product/bitburger-premium-pilsner/394536,"Bitburger Premium Pilsner",NULL,"Light & Hoppy",http://www.lcbo.com/lcbo/search/style/10003?tasteprofile=Light+%26+Hoppy,"Golden yellow; a distinctive hoppy nose with mineral notes; creamy palate and clean, slightly bitter finish.",NULL,"August 13, 2012",5.0%,Germany,"Bitburger Brauerie Th. Simon","Light & Hoppy","2018-06-11 03:03:51"
